,Country,Years,lever_floor-intensity,living space,lever_nonres-floorarea,floor area in commercial and public buildings,lever_pkm,average distance travelled,lever_freight_tkm,transported goods,lever_diet,meat consumption,lever_fwaste,food waste
0,Cyprus,2020,4,87.1176820095082,4,8100.0,4,12099.034182418844,4,1.8769210006343549,4,270.3,4,408.3463999999999
1,Cyprus,2025,4,85.9184795757221,4,8100.0,4,12172.202572971952,4,1.7736903455994626,4,213.6088,4,363.3562785714282
2,Cyprus,2030,4,84.3556701665268,4,8100.0,4,12135.231708691981,4,1.670459690564577,4,187.8402,4,277.0921999999997
3,Cyprus,2035,4,82.5825393509675,4,8100.0,4,11993.901239685769,4,1.5672290355296843,4,162.0714,4,233.3408000000003
4,Cyprus,2040,4,80.6939776529361,4,8100.0,4,11782.447347962105,4,1.4639983804947971,4,136.3029,4,189.5894000000001
5,Cyprus,2045,4,78.736529660706,4,8100.0,4,11526.148542781524,4,1.4639983804947971,4,110.5341,4,145.83800000000008
6,Cyprus,2050,4,76.7327577751356,4,8100.0,4,11238.71888419902,4,1.4639983804947971,4,84.7654,4,102.0866
