,Country,Years,lever_floor-intensity,living space,lever_nonres-floorarea,floor area in commercial and public buildings,lever_pkm,average distance travelled,lever_freight_tkm,transported goods,lever_diet,meat consumption,lever_fwaste,food waste
0,Germany,2020,4,49.889666524807296,4,1670630.0,4,15269.203284143441,4,860.4947598630381,4,300.04999999999995,4,513.14991
1,Germany,2025,4,47.6719395775888,4,1670630.0,4,14661.15562163662,4,813.167548070569,4,234.07829999999998,4,457.43671500000016
2,Germany,2030,4,45.518731187198,4,1670630.0,4,14124.867359111973,4,765.840336278103,4,204.09109999999998,4,348.2088675000005
3,Germany,2035,4,43.40892519724079,4,1670630.0,4,13654.368791698296,4,718.513124485637,4,174.10389999999998,4,293.2285199999995
4,Germany,2040,4,41.311245369802094,4,1670630.0,4,13231.060554882168,4,671.1859126931698,4,144.11679999999998,4,238.24817249999964
5,Germany,2045,4,39.20427373597149,4,1670630.0,4,12840.188586058206,4,671.1859126931698,4,114.12979999999999,4,183.26782500000016
6,Germany,2050,4,37.0725348532237,4,1670630.0,4,12465.30378699068,4,671.1859126931698,4,84.1425,4,128.2874775
