,Country,Years,lever_floor-intensity,living space,lever_nonres-floorarea,floor area in commercial and public buildings,lever_pkm,average distance travelled (inland+international),lever_freight_tkm,transported goods (inland+international),lever_diet,meat consumption,lever_fwaste,food waste
0,Finland,2020,4,54.5827871534693,4,119500.0,4,15331.451528900288,4,58.39286370744874,4,447.1,4,534.9289520000001
1,Finland,2025,4,52.7696473837183,4,119500.0,4,15096.745091900035,4,55.18125620353928,4,335.544,4,476.54542657142827
2,Finland,2030,4,50.8771582801956,4,119500.0,4,14845.347195897428,4,51.9696486996295,4,284.8369,4,362.98750314285724
3,Finland,2035,4,48.912000101606,4,119500.0,4,14559.160666801214,4,48.75804119571973,4,234.1295,4,305.6736868571428
4,Finland,2040,4,46.8901595248142,4,119500.0,4,14237.884715875225,4,45.546433691810016,4,183.42230000000004,4,248.3598705714282
5,Finland,2045,4,44.8241106763863,4,119500.0,4,13883.325383313648,4,45.546433691810016,4,132.715,4,191.0460542857143
6,Finland,2050,4,42.7233358520871,4,119500.0,4,13498.36492813921,4,45.546433691810016,4,82.0077,4,133.73223800000002
