,Country,Years,lever_floor-intensity,living space,lever_nonres-floorarea,floor area in commercial and public buildings,lever_pkm,average distance travelled,lever_freight_tkm,transported goods,lever_diet,meat consumption,lever_fwaste,food waste
0,Lithuania,2020,4,32.5769731029854,4,50570.0,4,10199.93243433209,4,21.961986222174698,4,315.35,4,578.00512
1,Lithuania,2025,4,31.5199200177324,4,50570.0,4,10065.920781836328,4,20.754076979955062,4,243.7336,4,515.2209871428573
2,Lithuania,2030,4,30.1481298560218,4,50570.0,4,9825.890181755582,4,19.546167737735466,4,211.18079999999998,4,392.21776000000017
3,Lithuania,2035,4,28.6081128296928,4,50570.0,4,9509.197371419503,4,18.338258495515877,4,178.6277,4,330.28863999999993
4,Lithuania,2040,4,26.9856158523206,4,50570.0,4,9149.506167729382,4,17.130349253296266,4,146.0749,4,268.35952000000043
5,Lithuania,2045,4,25.3290028889258,4,50570.0,4,8774.292527923735,4,17.130349253296266,4,113.522,4,206.43039999999965
6,Lithuania,2050,4,23.6575951691429,4,50570.0,4,8397.107739092817,4,17.130349253296266,4,80.9691,4,144.50128
