,Country,Years,lever_floor-intensity,living space,lever_nonres-floorarea,floor area in commercial and public buildings,lever_pkm,average distance travelled (inland+international),lever_freight_tkm,transported goods (inland+international),lever_diet,meat consumption,lever_fwaste,food waste
0,Spain,2020,4,55.7031252862815,4,348390.0,4,12423.57023932957,4,344.84119605736083,4,315.35,4,482.57284999999996
1,Spain,2025,4,54.136281131984,4,348390.0,4,12417.206910134044,4,325.8749302742059,4,244.1814,4,429.09081071428557
2,Spain,2030,4,52.4092597486635,4,348390.0,4,12394.787344616958,4,306.90866449105084,4,211.8322,4,327.4601482142853
3,Spain,2035,4,50.5562832702063,4,348390.0,4,12335.662776959509,4,287.9423987078958,4,179.4829,4,275.75591428571477
4,Spain,2040,4,48.6068646778751,4,348390.0,4,12224.446109367795,4,268.9761329247414,4,147.1335,4,224.05168035714277
5,Spain,2045,4,46.5886766268302,4,348390.0,4,12062.49782378705,4,268.9761329247414,4,114.7842,4,172.34744642857143
6,Spain,2050,4,44.5220001126177,4,348390.0,4,11858.158079812376,4,268.9761329247414,4,82.4349,4,120.64321249999999
